X:ST1,Y:ST1,X:ST2,Y:ST2,X:ST3,Y:ST3,X:ST4,Y:ST4
0.249276662,0.0630637,0.262972582,0.055523342,0.410057058,0.062064815,1.147323234,0.064939653
0.859923305,0.277957793,0.805022682,0.278298876,1.203061945,0.278311057,2.301123136,0.283914554
1.065009331,0.574894386,1.117910237,0.56462537,1.376756696,0.570472497,1.755198339,0.573091522
1.058326065,0.870661554,1.150431956,0.857663878,1.315182552,0.869065775,1.140657509,0.865179872
1.051642799,1.166428721,1.132052488,1.170899337,1.198746766,1.177940252,0.949713734,1.174517247
1.046978741,1.47709388,1.121515965,1.48408607,1.031292848,1.477191333,0.923481574,1.485316403
1.046294627,1.80264485,1.109028451,1.799770013,1.020824542,1.807773268,0.928640689,1.800890712
1.035855556,2.140681872,1.080903771,2.127976553,1.012307228,2.135857993,0.927966321,2.128926711
1.03128895,2.476197321,1.06857218,2.483420959,1.013642322,2.476306955,0.933281359,2.484261484
