# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	7.800304e-03	2.035201e-03	4.468218e-03
119           	6.996881e-03	1.895610e-03	4.203748e-03
120           	5.054907e-03	1.771906e-03	3.792921e-03
121           	5.053658e-03	1.650839e-03	3.562983e-03
122           	3.802791e-03	1.609932e-03	3.207661e-03
123           	2.574735e-03	1.517812e-03	3.010848e-03
124           	2.985310e-03	1.436482e-03	2.902227e-03
125           	2.155763e-03	1.396622e-03	2.748517e-03
126           	2.352964e-03	1.345823e-03	2.681743e-03
127           	2.070422e-03	1.318211e-03	2.609711e-03
128           	1.167954e-03	1.279181e-03	2.549813e-03
129           	1.197736e-03	1.268235e-03	2.383043e-03
130           	6.757441e-04	1.237285e-03	2.345312e-03
131           	7.123506e-04	1.220208e-03	2.332968e-03
132           	5.645487e-04	1.204405e-03	2.241321e-03
133           	4.926963e-04	1.192001e-03	2.245188e-03
134           	4.759274e-04	1.190946e-03	2.219886e-03
135           	4.524776e-04	1.185501e-03	2.174025e-03
136           	4.506479e-04	1.171679e-03	2.143802e-03
137           	4.307678e-04	1.157217e-03	2.171774e-03
138           	4.651604e-04	1.145731e-03	2.148526e-03
139           	4.342735e-04	1.147676e-03	2.122042e-03
140           	4.073149e-04	1.133782e-03	2.114831e-03
141           	2.650098e-04	1.127841e-03	2.097595e-03
142           	2.696417e-04	1.118915e-03	2.084155e-03
143           	2.836361e-04	1.112178e-03	2.070782e-03
144           	2.102375e-04	1.107854e-03	2.037493e-03
145           	2.903457e-04	1.097445e-03	2.029601e-03
146           	2.990467e-04	1.087287e-03	2.009090e-03
147           	2.778011e-04	1.079744e-03	2.006607e-03
148           	2.525621e-04	1.067665e-03	1.971713e-03
149           	2.394241e-04	1.072297e-03	1.960404e-03
150           	2.371365e-04	1.064166e-03	1.932850e-03
151           	2.742129e-04	1.063598e-03	1.936439e-03
152           	2.576150e-04	1.055490e-03	1.933230e-03
153           	2.406120e-04	1.054594e-03	1.891218e-03
154           	2.127358e-04	1.045782e-03	1.906734e-03
155           	1.746907e-04	1.051003e-03	1.872105e-03
156           	1.399609e-04	1.040271e-03	1.863368e-03
157           	1.238949e-04	1.038235e-03	1.892357e-03
158           	1.173168e-04	1.030936e-03	1.839160e-03
159           	1.326165e-04	1.025226e-03	1.872902e-03
160           	1.157493e-04	1.022491e-03	1.823497e-03
161           	1.351841e-04	1.016578e-03	1.843489e-03
162           	1.867858e-04	9.962697e-04	1.796185e-03
163           	1.837163e-04	9.863075e-04	1.786154e-03
164           	2.461599e-04	9.624347e-04	1.765849e-03
165           	2.444857e-04	9.536134e-04	1.733492e-03
166           	2.155800e-04	9.326550e-04	1.697352e-03
167           	2.410307e-04	9.187928e-04	1.724638e-03
168           	2.219530e-04	9.046772e-04	1.685600e-03
169           	2.259062e-04	8.888829e-04	1.707907e-03
170           	2.312003e-04	8.674049e-04	1.663173e-03
171           	2.483916e-04	8.520388e-04	1.673116e-03
172           	2.600040e-04	8.354448e-04	1.569879e-03
173           	3.162608e-04	8.261225e-04	1.550946e-03
174           	3.131135e-04	8.149024e-04	1.541562e-03
175           	2.174848e-04	8.075239e-04	1.546184e-03
176           	1.997638e-04	7.925438e-04	1.492816e-03
177           	1.650020e-04	7.867054e-04	1.478671e-03
178           	1.213081e-04	7.716453e-04	1.431637e-03
179           	1.027434e-04	7.639788e-04	1.447798e-03
180           	7.653933e-05	7.501456e-04	1.395374e-03
181           	9.167074e-05	7.419735e-04	1.405151e-03
182           	7.889616e-05	7.238967e-04	1.359040e-03
183           	9.826315e-05	7.208491e-04	1.358558e-03
184           	1.062386e-04	7.030068e-04	1.320464e-03
185           	8.728002e-05	6.957043e-04	1.322917e-03
186           	7.750427e-05	6.777767e-04	1.279684e-03
187           	1.079802e-04	6.694625e-04	1.298123e-03
188           	1.095685e-04	6.520755e-04	1.244047e-03
189           	1.346574e-04	6.499427e-04	1.242658e-03
190           	1.282908e-04	6.345741e-04	1.195047e-03
191           	1.183687e-04	6.284454e-04	1.216490e-03
192           	1.039669e-04	6.144673e-04	1.163194e-03
193           	9.144917e-05	6.077066e-04	1.183901e-03
194           	8.446937e-05	5.917065e-04	1.152855e-03
195           	8.506637e-05	5.896808e-04	1.160633e-03
196           	8.208504e-05	5.760617e-04	1.127007e-03
197           	8.500662e-05	5.724003e-04	1.143819e-03
198           	8.355760e-05	5.612148e-04	1.110718e-03
199           	7.933049e-05	5.612857e-04	1.133640e-03
200           	7.978328e-05	5.498958e-04	1.107357e-03
201           	8.263877e-05	5.475931e-04	1.129869e-03
202           	8.331250e-05	5.399471e-04	1.101036e-03
203           	9.760774e-05	5.397201e-04	1.122527e-03
204           	1.038077e-04	5.317604e-04	1.095120e-03
205           	1.074975e-04	5.295556e-04	1.112897e-03
206           	1.161096e-04	5.202734e-04	1.079798e-03
207           	1.474159e-04	5.197388e-04	1.109388e-03
208           	1.255789e-04	5.112745e-04	1.094294e-03
209           	1.131130e-04	5.108558e-04	1.116431e-03
210           	1.115897e-04	5.040038e-04	1.082464e-03
211           	1.300920e-04	5.021655e-04	1.115369e-03
212           	1.217419e-04	4.960634e-04	1.095056e-03
213           	1.641624e-04	4.934056e-04	1.106688e-03
214           	1.492099e-04	4.878076e-04	1.070697e-03
215           	1.441857e-04	4.882019e-04	1.094119e-03
216           	1.171822e-04	4.789767e-04	1.046635e-03
217           	1.106023e-04	4.747033e-04	1.041107e-03
218           	1.124367e-04	4.652991e-04	1.012968e-03
219           	1.283916e-04	4.619287e-04	1.021431e-03
220           	1.273240e-04	4.513744e-04	9.760011e-04
