# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	2.983120e-03	7.852898e-04	1.509715e-03
119           	2.480578e-03	7.609190e-04	1.492037e-03
120           	2.917066e-03	7.880170e-04	1.467322e-03
121           	2.448713e-03	7.522901e-04	1.442434e-03
122           	2.818436e-03	7.444762e-04	1.419962e-03
123           	2.463944e-03	7.402592e-04	1.386932e-03
124           	2.943501e-03	7.336600e-04	1.366160e-03
125           	2.391845e-03	7.081749e-04	1.343796e-03
126           	3.062664e-03	7.317188e-04	1.324945e-03
127           	2.348882e-03	7.080771e-04	1.315275e-03
128           	2.824421e-03	6.978215e-04	1.280427e-03
129           	2.420570e-03	6.813256e-04	1.260341e-03
130           	2.819785e-03	6.834709e-04	1.280398e-03
131           	2.395253e-03	6.676848e-04	1.251253e-03
132           	2.796021e-03	6.748425e-04	1.227605e-03
133           	2.322180e-03	6.460911e-04	1.244724e-03
134           	2.578754e-03	6.419872e-04	1.197951e-03
135           	2.316452e-03	6.252891e-04	1.163486e-03
136           	2.648026e-03	6.609471e-04	1.117943e-03
137           	2.203262e-03	6.219418e-04	1.158029e-03
138           	2.566104e-03	6.114937e-04	1.132987e-03
139           	2.104041e-03	5.951700e-04	1.100724e-03
140           	2.445733e-03	5.809990e-04	1.118583e-03
141           	2.140201e-03	5.674581e-04	1.093300e-03
142           	2.452101e-03	5.945345e-04	1.036654e-03
143           	2.116900e-03	5.622234e-04	1.051642e-03
144           	2.372246e-03	5.583518e-04	1.050589e-03
145           	2.119735e-03	5.422958e-04	1.046878e-03
146           	2.427744e-03	5.422744e-04	1.034554e-03
147           	2.043842e-03	5.214787e-04	1.014671e-03
148           	2.300850e-03	5.165242e-04	1.006703e-03
149           	2.076892e-03	5.002120e-04	9.748099e-04
