distance,U_0,U_1,U_2
3.33333e-06,0.0517984,2.17409e-05,0
1e-05,0.181845,0.00143265,0
1.66667e-05,0.308483,0.00288084,0
2.33333e-05,0.431938,0.00434724,0
3e-05,0.552406,0.00582981,0
3.66667e-05,0.670052,0.00732608,0
4.33333e-05,0.78502,0.00883289,0
5e-05,0.897436,0.0103472,0
5.66667e-05,1.00741,0.0118662,0
6.33333e-05,1.11503,0.0133874,0
7e-05,1.22038,0.0149084,0
7.66667e-05,1.32353,0.0164264,0
8.33333e-05,1.42455,0.0179408,0
9e-05,1.52349,0.0194536,0
9.66667e-05,1.62451,0.02099,0
0.000104606,1.73893,0.0227166,0
0.000114472,1.87328,0.0248158,0
0.000125742,2.02495,0.0272591,0
0.000138614,2.19224,0.0299847,0
0.000153317,2.37575,0.0330199,0
0.00017011,2.57573,0.0363936,0
0.000189292,2.79197,0.0401098,0
0.000211201,3.02351,0.0441537,0
0.000236226,3.26849,0.0484873,0
0.00026481,3.52385,0.0530441,0
0.000297459,3.78514,0.0577131,0
0.000334751,4.04627,0.0622852,0
0.000377346,4.29961,0.0663813,0
0.000425998,4.53625,0.0702723,0
0.000481569,4.7442,0.0736573,0
0.000545043,4.91213,0.0754941,0
0.000617543,5.03861,0.0763068,0
0.000700353,5.12808,0.0756201,0
0.000794939,5.18737,0.0737241,0
0.000902977,5.22428,0.0710345,0
0.00102638,5.2452,0.0675833,0
0.00116733,5.25461,0.0634969,0
0.00132832,5.25604,0.0590434,0
0.00151221,5.2499,0.053457,0
0.00172225,5.2363,0.048174,0
0.00196216,5.21863,0.0416089,0
0.00223618,5.20019,0.0344626,0
0.00254918,5.18247,0.026857,0
0.00290668,5.16587,0.0182291,0
