distance,U_0,U_1,U_2
3.33333e-06,0.404551,-0.000166815,0
1e-05,1.13084,-0.0139125,0
1.66667e-05,1.77665,-0.0426728,0
2.33333e-05,2.35037,-0.0790245,0
3e-05,2.86213,-0.123292,0
3.66667e-05,3.32265,-0.174038,0
4.33333e-05,3.74214,-0.229317,0
5e-05,4.12942,-0.287323,0
5.66667e-05,4.49131,-0.346509,0
6.33333e-05,4.8325,-0.405582,0
7e-05,5.15555,-0.463502,0
7.66667e-05,5.46131,-0.519479,0
8.33333e-05,5.74943,-0.572957,0
9e-05,6.01885,-0.62357,0
9.66667e-05,6.27842,-0.673135,0
0.000104606,6.54968,-0.726456,0
0.000114472,6.83425,-0.785109,0
0.000125742,7.10966,-0.846361,0
0.000138614,7.3572,-0.908449,0
0.000153317,7.567,-0.971169,0
0.00017011,7.73483,-1.03473,0
0.000189292,7.86268,-1.0996,0
0.000211201,7.95632,-1.16631,0
0.000236226,8.02156,-1.23526,0
0.00026481,8.06154,-1.30666,0
0.000297459,8.0757,-1.38037,0
0.000334751,8.06009,-1.45588,0
0.000377346,8.0088,-1.53237,0
0.000425998,7.91552,-1.60877,0
0.000481569,7.77486,-1.68367,0
0.000545043,7.58407,-1.75549,0
0.000617543,7.34404,-1.82234,0
0.000700353,7.05749,-1.88083,0
0.000794939,6.72649,-1.92561,0
0.000902977,6.35331,-1.9465,0
0.00102638,5.93828,-1.93307,0
0.00116733,5.46347,-1.84342,0
0.00132832,4.97591,-1.66636,0
0.00151221,4.6952,-1.45951,0
0.00172225,4.69378,-1.24086,0
0.00196216,4.75731,-1.06083,0
0.00223618,4.79853,-0.90872,0
0.00254918,4.82671,-0.777988,0
0.00290668,4.84743,-0.666566,0
