distance,U_0,U_1,U_2
3.33333e-06,0.317003,0.000334252,0
1e-05,0.972672,0.00165466,0
1.66667e-05,1.62325,0.00424423,0
2.33333e-05,2.26798,0.00812459,0
3e-05,2.90582,0.0132252,0
3.66667e-05,3.53541,0.019457,0
4.33333e-05,4.15517,0.0267345,0
5e-05,4.76331,0.0349661,0
5.66667e-05,5.35791,0.04405,0
6.33333e-05,5.937,0.0538754,0
7e-05,6.49856,0.064324,0
7.66667e-05,7.04062,0.0752721,0
8.33333e-05,7.56131,0.0865922,0
9e-05,8.0589,0.0981561,0
9.66667e-05,8.55235,0.110353,0
0.000104606,9.08884,0.124474,0
0.000114472,9.6811,0.141184,0
0.000125742,10.2943,0.159811,0
0.000138614,10.8944,0.17951,0
0.000153317,11.4519,0.199375,0
0.00017011,11.933,0.218129,0
0.000189292,12.3038,0.234207,0
0.000211201,12.5357,0.246099,0
0.000236226,12.6149,0.252365,0
0.00026481,12.5522,0.253475,0
0.000297459,12.3548,0.249639,0
0.000334751,12.0349,0.240731,0
0.000377346,11.6167,0.228458,0
0.000425998,11.1094,0.213467,0
0.000481569,10.5138,0.195968,0
0.000545043,9.82765,0.176065,0
0.000617543,9.04736,0.153804,0
0.000700353,8.16923,0.12921,0
0.000794939,7.20109,0.102119,0
0.000902977,6.20412,0.0716805,0
0.00102638,5.34507,0.0378315,0
0.00116733,4.79553,0.00425351,0
0.00132832,4.54406,-0.0248495,0
0.00151221,4.47259,-0.0517531,0
0.00172225,4.48228,-0.0782061,0
0.00196216,4.50201,-0.102684,0
0.00223618,4.52148,-0.125051,0
0.00254918,4.54745,-0.146056,0
0.00290668,4.57675,-0.1613,0
