distance,U_0,U_1,U_2
3.33333e-06,0.201277,3.46457e-06,-2.79311e-19
1e-05,0.60346,2.06914e-05,-6.23326e-19
1.66667e-05,1.0051,5.58637e-05,-3.49242e-19
2.33333e-05,1.40616,0.000110844,-3.80305e-19
3e-05,1.80661,0.00018617,-6.0792e-19
3.66667e-05,2.2064,0.000282296,-4.88244e-19
4.33333e-05,2.60549,0.000399715,-6.31324e-19
5e-05,3.00381,0.000538847,-5.03244e-19
5.66667e-05,3.40132,0.000699997,-3.26856e-19
6.33333e-05,3.80059,0.000884727,-2.98021e-19
7.02554e-05,4.21424,0.0011006,-1.7679e-19
7.7708e-05,4.65572,0.00135875,-1.71885e-19
8.57317e-05,5.12947,0.00166786,-8.79182e-20
9.43702e-05,5.63755,0.00203657,2.3419e-20
0.000103671,6.18207,0.00247466,-2.79137e-20
0.000113684,6.76514,0.00299313,-2.65789e-19
0.000124464,7.38887,0.00360423,-8.0885e-20
0.000136071,8.05528,0.00432148,6.16487e-19
0.000148567,8.76626,0.00515953,-1.42168e-18
0.000162021,9.52346,0.00613411,-2.04331e-18
0.000176506,10.3282,0.00726166,-1.98121e-18
0.0001921,11.1812,0.00855885,-8.5586e-19
0.00020889,12.0827,0.0100418,-9.84492e-19
0.000226966,13.032,0.0117252,-1.3687e-19
0.000246428,14.0272,0.0136207,-5.03238e-20
0.000267381,15.0651,0.0157359,-4.86771e-18
0.000289939,16.1407,0.018072,-2.32147e-18
0.000314227,17.2473,0.0206216,4.02199e-19
0.000340375,18.3759,0.0233668,-1.80438e-18
0.000368527,19.5151,0.0262767,3.82214e-20
0.000398837,20.6512,0.0293059,-3.27968e-18
0.000431469,21.7682,0.0323943,-4.91455e-19
0.000466602,22.8485,0.0354685,2.49518e-18
0.000504428,23.8732,0.0384463,-3.21133e-18
0.000545151,24.8243,0.0412169,-2.40403e-18
0.000588996,25.6856,0.0435778,-6.07405e-18
0.0006362,26.4437,0.0454517,-3.25138e-18
0.000687022,27.09,0.0469876,-8.35904e-18
0.000741739,27.6227,0.0479423,-2.04896e-18
0.000800648,28.0449,0.0483496,-5.00535e-19
0.000864072,28.3608,0.0482899,-2.33778e-18
0.000932356,28.5782,0.0475935,2.26918e-18
0.00100587,28.7069,0.0470283,4.90218e-19
0.00108502,28.7521,0.0455928,-1.25257e-18
0.00117024,28.7317,0.0436048,-7.07538e-18
0.00126198,28.6538,0.0414356,2.06869e-18
0.00136076,28.52,0.0389379,2.27913e-18
0.00146711,28.3339,0.03611,-2.80859e-17
0.0015816,28.098,0.0329901,5.88685e-18
0.00170487,27.8139,0.0295752,1.41877e-17
0.00183759,27.4827,0.0258477,-5.78245e-18
0.00198047,27.1052,0.0218059,2.97205e-18
0.00213431,26.6822,0.0174448,1.79302e-17
0.00229993,26.2148,0.0127616,-3.70676e-17
0.00247825,25.704,0.00771461,-3.99321e-17
0.00267023,25.1504,0.00219272,-4.08048e-17
0.00287692,24.5527,-0.00365603,-5.29511e-17
0.00309945,23.9098,-0.00978487,-4.62596e-17
0.00333904,23.2306,-0.0160886,-3.70357e-17
0.00359698,22.5123,-0.0228882,-2.57486e-17
0.0038747,21.7578,-0.0299697,3.63504e-18
0.00417369,20.9719,-0.037183,-9.58826e-19
0.00449559,20.1471,-0.0455703,-9.45019e-18
0.00484217,19.2942,-0.0533072,-3.07978e-17
0.0052153,18.4111,-0.0619735,-6.23762e-18
0.00561702,17.5043,-0.0705661,5.40638e-18
0.00604953,16.5774,-0.0794828,1.4628e-17
0.00651519,15.6344,-0.0888514,6.14979e-18
0.00701653,14.6804,-0.0985185,2.07661e-17
0.00755628,13.7201,-0.108359,2.96917e-17
0.0081374,12.7586,-0.118402,-1.46606e-17
0.00876305,11.8012,-0.128677,-2.92153e-17
0.00943665,10.8537,-0.139121,-4.39158e-17
