distance,U_0,U_1,U_2
3.33333e-06,0,0,0
1e-05,0,0,0
1.66667e-05,0,0,0
2.33333e-05,0,0,0
3e-05,0,0,0
3.66667e-05,0,0,0
4.33333e-05,0,0,0
5e-05,0,0,0
5.66667e-05,0,0,0
6.33333e-05,0.0833441,-0.0241931,3.17717e-20
7.02554e-05,0.212821,-0.0539154,2.95723e-20
7.7708e-05,0.307345,-0.0633942,-1.08103e-19
8.57317e-05,0.406198,-0.0701374,-1.0148e-19
9.43702e-05,0.509168,-0.0748059,3.94117e-20
0.000103671,0.616187,-0.0778324,3.76945e-20
0.000113684,0.727117,-0.0796255,4.67826e-20
0.000124464,0.841747,-0.0806074,4.40758e-20
0.000136071,0.959928,-0.0811794,1.07572e-19
0.000148567,1.0814,-0.0816797,1.00305e-19
0.000162021,1.20555,-0.0823559,-7.24687e-19
0.000176506,1.33164,-0.0833941,-9.43444e-19
0.0001921,1.4589,-0.0849183,4.07633e-19
0.00020889,1.58643,-0.0869829,1.15105e-18
0.000226966,1.71321,-0.0896031,2.55118e-19
0.000246428,1.83811,-0.0927731,-2.68882e-19
0.000267381,1.95991,-0.096479,-2.44916e-19
0.000289939,2.07736,-0.100709,-5.04058e-19
0.000314227,2.18926,-0.105459,6.9872e-19
0.000340375,2.29448,-0.110735,9.84326e-19
0.000368527,2.39207,-0.116556,-4.36205e-19
0.000398837,2.48125,-0.122955,-4.56065e-19
0.000431469,2.56145,-0.129984,0
0.000466602,2.63233,-0.13772,-3.63208e-19
0.000504428,2.69377,-0.14626,-3.84382e-19
0.000545151,2.74587,-0.15573,3.2086e-19
0.000588996,2.78892,-0.166269,3.42034e-19
0.0006362,2.82343,-0.178033,0
0.000687022,2.85002,-0.191183,0
0.000741739,2.86949,-0.205878,0
0.000800648,2.88273,-0.22227,0
0.000864072,2.89069,-0.240498,0
0.000932356,2.89439,-0.260687,5.44688e-21
0.00100587,2.89483,-0.282942,5.72794e-21
0.00108502,2.89298,-0.307344,3.56798e-19
0.00117024,2.88986,-0.33395,7.18228e-19
0.00126198,2.88646,-0.362762,4.76781e-20
0.00136076,2.88315,-0.393735,-6.28093e-19
0.00146711,2.87934,-0.42686,-3.14061e-19
0.0015816,2.87434,-0.46219,0
0.00170487,2.86791,-0.499842,-2.38421e-19
0.00183759,2.86001,-0.539974,-2.54719e-19
0.00198047,2.85058,-0.582763,-2.0268e-19
0.00213431,2.83951,-0.628392,-2.13853e-19
0.00229993,2.82664,-0.677047,3.53562e-19
0.00247825,2.81175,-0.728902,7.16891e-19
0.00267023,2.79459,-0.784125,6.67314e-19
0.00287692,2.77485,-0.842856,3.30447e-19
0.00309945,2.75216,-0.905202,-2.72482e-19
0.00333904,2.72614,-0.971194,-5.46336e-19
0.00359698,2.69637,-1.04078,-2.74864e-19
0.0038747,2.66243,-1.11387,0
0.00417369,2.62388,-1.19024,-4.21088e-19
0.00449559,2.58031,-1.26956,-4.43762e-19
0.00484217,2.53141,-1.35131,7.56398e-19
0.0052153,2.47699,-1.4348,7.97565e-19
0.00561702,2.41703,-1.51913,-5.25321e-21
0.00604953,2.3518,-1.60318,-9.12879e-21
0.00651519,2.2818,-1.68586,3.41102e-21
0.00701653,2.20785,-1.76573,5.49992e-22
0.00755628,2.13132,-1.84111,-2.89092e-19
0.0081374,2.05392,-1.91051,-3.00848e-19
0.00876305,1.97793,-1.97234,-5.2399e-19
0.00943665,1.906,-2.02543,-5.42839e-19
